date,precip,year,month,season,heavy,extreme
2024-10-31 06:00:01,12.0,2024,10,Autumn,True,False
2024-11-20 06:00:01,11.0,2024,11,Autumn,True,False
2024-12-01 06:00:01,17.5,2024,12,Winter,True,False
2025-01-06 06:00:01,14.8,2025,1,Winter,True,False
2025-01-07 06:00:01,22.6,2025,1,Winter,True,True
2025-01-08 06:00:01,14.1,2025,1,Winter,True,False
2025-01-09 06:00:01,27.4,2025,1,Winter,True,True
2025-01-21 06:00:01,13.6,2025,1,Winter,True,False
2025-01-23 06:00:01,20.0,2025,1,Winter,True,False
2025-01-29 06:00:01,24.0,2025,1,Winter,True,True
